NO,NO. NOTA PENJUALAN,TANGGAL PENJUALAN,NAMA PENJUAL,NAMA PEMBELI,Ur Barang,Jumlah Satuan,Kd Satuan,Netto,Bruto,Fob Valuta,KODE VALUTA,NDPBM,FOB DALAM RUPIAH
1378,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (EAST)840505-03A-T52-S-XL-M0212TP52-HR13-001 #NON COMMERCIAL VALUE",1.00,NIU,53.00,53.00,79.50,USD,"14,945.00","1,188,127.50"
1379,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (NORTH)840505-03A-T52-S-XL-M0214TP52-HR15-001 #NON COMMERCIAL VALUE",1.00,NIU,60.00,60.00,90.00,USD,"14,945.00","1,345,050.00"
1380,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T52-S-XL-M0216TP52-HR17-001 #NON COMMERCIAL VALUE",1.00,NIU,55.00,55.00,82.50,USD,"14,945.00","1,232,962.50"
1381,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T52-S-XL-M0216TP52-HR18-001 #NON COMMERCIAL VALUE",1.00,NIU,55.00,55.00,82.50,USD,"14,945.00","1,232,962.50"
1382,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T52-S-XL-M0219TP52-HR19-001 #NON COMMERCIAL VALUE",1.00,NIU,63.00,63.00,94.50,USD,"14,945.00","1,412,302.50"
1383,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL INTERNAL CAGE840505-03A-T52-S-XL-M0594H-F1-T52-005 #NON COMMERCIAL VALUE",1.00,NIU,19.00,19.00,28.50,USD,"14,945.00","425,932.50"
1384,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL ACCESS PLATFORM840505-03A-T52-S-XL-M0236T52-HR28-001 #NON COMMERCIAL VALUE",1.00,NIU,40.44,40.44,60.66,USD,"14,945.00","906,563.70"
1385,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, GATE RAIL WORK PLATFORM (EAST)840505-03A-T52-S-XL-M0221TP52-GT04-001 #NON COMMERCIAL VALUE",1.00,NIU,39.14,39.14,58.71,USD,"14,945.00","877,420.95"
1386,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (EAST)840505-03A-T51-S-XL-M0213TP51-HR14-001 #NON COMMERCIAL VALUE",1.00,NIU,66.00,66.00,99.00,USD,"14,945.00","1,479,555.00"
1387,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, STANCHION GATE WORK PLATFORM (EAST)840505-03A-T52-S-XL-M0220TP52-GT02-001 #NON COMMERCIAL VALUE",2.00,NIU,97.86,97.86,293.58,USD,"14,945.00","4,387,553.10"
1388,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, STANCHION GATE WORK PLATFORM (EAST)840505-03A-T52-S-XL-M0221TP52-GT04-001 #NON COMMERCIAL VALUE",2.00,NIU,100.90,100.90,302.70,USD,"14,945.00","4,523,851.50"
1389,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - SLIDING BAR D35MM840505-03A-T52-S-XL-M0240HG-F0-T52-002 #NON COMMERCIAL VALUE",2.00,NIU,7.34,7.34,22.02,USD,"14,945.00","329,088.90"
1390,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (WEST)840505-03A-T52-S-XL-M0205TP52-HR1-001 #NON COMMERCIAL VALUE",1.00,NIU,65.00,65.00,97.50,USD,"14,945.00","1,457,137.50"
1391,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (WEST)840505-03A-T52-S-XL-M0205TP52-HR2-001 #NON COMMERCIAL VALUE",1.00,NIU,65.00,65.00,97.50,USD,"14,945.00","1,457,137.50"
1392,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (WEST)840505-03A-T52-S-XL-M0203TP52-HR4-001 #NON COMMERCIAL VALUE",1.00,NIU,64.00,64.00,96.00,USD,"14,945.00","1,434,720.00"
1393,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T52-S-XL-M0219TP52-HR21-001 #NON COMMERCIAL VALUE",1.00,NIU,112.00,112.00,168.00,USD,"14,945.00","2,510,760.00"
1394,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL BOAT LANDING840505-03A-J238-S-XL-M0273C2-U38-T2-1-001 #NON COMMERCIAL VALUE",1.00,NIU,64.50,64.50,96.75,USD,"14,945.00","1,445,928.75"
1395,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (WEST)840505-03A-T51-S-XL-M0205TP51-HR2-001 #NON COMMERCIAL VALUE",1.00,NIU,65.00,65.00,97.50,USD,"14,945.00","1,457,137.50"
1396,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - UPPER CHANEL 10MM PLATE840505-03A-T52-S-XL-M0240HG-F0-T52-002 #NON COMMERCIAL VALUE",1.00,NIU,3.69,3.69,5.54,USD,"14,945.00","82,795.30"
1397,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - UPPER CHANEL 10MM PLATE840505-03A-T52-S-XL-M0240HG-F0-T52-003 #NON COMMERCIAL VALUE",1.00,NIU,3.69,3.69,5.54,USD,"14,945.00","82,795.30"
1398,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - HANDLE WITH 12MM PLATE840505-03A-T51-S-XL-M0240HG-F0-T51-002 #NON COMMERCIAL VALUE",1.00,NIU,2.38,2.38,3.57,USD,"14,945.00","53,353.65"
1399,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - HANDLE WITH 12MM PLATE840505-03A-T52-S-XL-M0240HG-F0-T52-002 #NON COMMERCIAL VALUE",1.00,NIU,2.38,2.38,3.57,USD,"14,945.00","53,353.65"
1400,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T52-S-XL-M0215TP52-HR23-001 #NON COMMERCIAL VALUE",1.00,NIU,60.00,60.00,90.00,USD,"14,945.00","1,345,050.00"
1401,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T52-S-XL-M0218TP52-HR24-001 #NON COMMERCIAL VALUE",1.00,NIU,109.00,109.00,163.50,USD,"14,945.00","2,443,507.50"
1402,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL ACCESS PLATFORM840505-03A-T52-S-XL-M0233T52-HR25-001 #NON COMMERCIAL VALUE",1.00,NIU,66.61,66.61,99.92,USD,"14,945.00","1,493,304.40"
1403,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL ACCESS PLATFORM840505-03A-T52-S-XL-M0234T52-HR26-001 #NON COMMERCIAL VALUE",1.00,NIU,66.61,66.61,99.92,USD,"14,945.00","1,493,304.40"
1404,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL ACCESS PLATFORM840505-03A-T52-S-XL-M0235T52-HR27-001 #NON COMMERCIAL VALUE",1.00,NIU,76.35,76.35,114.53,USD,"14,945.00","1,711,650.85"
1405,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T51-S-XL-M0216TP51-HR18-001 #NON COMMERCIAL VALUE",1.00,NIU,55.00,55.00,82.50,USD,"14,945.00","1,232,962.50"
1406,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (SOUTH)840505-03A-T52-S-XL-M0217TP52-HR16-001 #NON COMMERCIAL VALUE",1.00,NIU,59.00,59.00,88.50,USD,"14,945.00","1,322,632.50"
1407,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL INTERNAL CAGE840505-03A-T52-S-XL-M0599H-F1-T52-028 #NON COMMERCIAL VALUE",1.00,NIU,20.30,20.30,30.45,USD,"14,945.00","455,075.25"
1408,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (WEST)840505-03A-T51-S-XL-M0202TP51-HR6-001 #NON COMMERCIAL VALUE",1.00,NIU,64.00,64.00,96.00,USD,"14,945.00","1,434,720.00"
1409,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (NORTH)840505-03A-T51-S-XL-M0207TP51-HR8-001 #NON COMMERCIAL VALUE",1.00,NIU,64.00,64.00,96.00,USD,"14,945.00","1,434,720.00"
1410,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (EAST)840505-03A-T51-S-XL-M0208TP51-HR9-001 #NON COMMERCIAL VALUE",1.00,NIU,65.00,65.00,97.50,USD,"14,945.00","1,457,137.50"
1411,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, STANCHION GATE WORK PLATFORM (WEST)840505-03A-T48-S-XL-M0220TP48-GT01-001  #NON COMMERCIAL VALUE",1.00,NIU,48.93,48.93,73.40,USD,"14,945.00","1,096,963.00"
1412,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, GATE RAIL WORK PLATFORM (NORTH)840505-03A-T51-S-XL-M0220TP51-GT03-001 #NON COMMERCIAL VALUE",2.00,NIU,82.45,82.45,247.35,USD,"14,945.00","3,696,645.75"
1413,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL ACCESS PLATFORM840505-03A-T51-S-XL-M0233T51-HR25-001 #NON COMMERCIAL VALUE",1.00,NIU,66.61,66.61,99.92,USD,"14,945.00","1,493,304.40"
1414,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (EAST)840505-03A-T52-S-XL-M0210TP52-HR11-001 #NON COMMERCIAL VALUE",1.00,NIU,86.00,86.00,129.00,USD,"14,945.00","1,927,905.00"
1415,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL ACCESS PLATFORM840505-03A-T52-S-XL-M0237T52-HR29-001 #NON COMMERCIAL VALUE",1.00,NIU,66.58,66.58,99.87,USD,"14,945.00","1,492,557.15"
1416,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, GATE RAIL WORK PLATFORM (WEST)840505-03A-T52-S-XL-M0220TP52-GT01-001 #NON COMMERCIAL VALUE",2.00,NIU,82.45,82.45,247.35,USD,"14,945.00","3,696,645.75"
1417,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - SLIDING BAR D35MM840505-03A-T51-S-XL-M0240HG-F0-T51-003 #NON COMMERCIAL VALUE",2.00,NIU,7.34,7.34,22.02,USD,"14,945.00","329,088.90"
1418,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - HANDLE WITH 12MM PLATE840505-03A-T51-S-XL-M0240HG-F0-T51-004 #NON COMMERCIAL VALUE",1.00,NIU,2.38,2.38,3.57,USD,"14,945.00","53,353.65"
1419,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - UPPER CHANEL 10MM PLATE840505-03A-T52-S-XL-M0240HG-F0-T52-001 #NON COMMERCIAL VALUE",1.00,NIU,3.69,3.69,5.54,USD,"14,945.00","82,795.30"
1420,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (WEST)840505-03A-T52-S-XL-M0202TP52-HR6-001 #NON COMMERCIAL VALUE",1.00,NIU,64.00,64.00,96.00,USD,"14,945.00","1,434,720.00"
1421,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL BOAT LANDING840505-03A-J238-S-XL-M0277C2-U38-T3-001 #NON COMMERCIAL VALUE",1.00,NIU,68.00,68.00,102.00,USD,"14,945.00","1,524,390.00"
1422,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL WORK PLATFORM (WEST)840505-03A-T51-S-XL-M0205TP51-HR1-001 #NON COMMERCIAL VALUE",1.00,NIU,65.00,65.00,97.50,USD,"14,945.00","1,457,137.50"
1423,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL ACCESS PLATFORM840505-03A-T51-S-XL-M0236T51-HR28-001 #NON COMMERCIAL VALUE",1.00,NIU,40.44,40.44,60.66,USD,"14,945.00","906,563.70"
1424,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL INTERNAL CAGE840505-03A-T51-S-XL-M0594H-F1-T51-005 #NON COMMERCIAL VALUE",1.00,NIU,19.00,19.00,28.50,USD,"14,945.00","425,932.50"
1425,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, HANDRAIL INTERNAL CAGE840505-03A-T51-S-XL-M0596H-F1-T51-025 #NON COMMERCIAL VALUE",1.00,NIU,21.50,21.50,32.25,USD,"14,945.00","481,976.25"
1426,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - UPPER CHANEL 10MM PLATE840505-03A-T51-S-XL-M0240HG-F0-T51-002 #NON COMMERCIAL VALUE",1.00,NIU,3.69,3.69,5.54,USD,"14,945.00","82,795.30"
1427,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - SLIDING BAR D35MM840505-03A-T51-S-XL-M0240HG-F0-T51-002 #NON COMMERCIAL VALUE",2.00,NIU,7.34,7.34,22.02,USD,"14,945.00","329,088.90"
1428,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - HANDLE WITH 12MM PLATE840505-03A-T52-S-XL-M0240HG-F0-T52-003 #NON COMMERCIAL VALUE",1.00,NIU,2.38,2.38,3.57,USD,"14,945.00","53,353.65"
1429,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - SLIDING BAR D35MM840505-03A-T52-S-XL-M0240HG-F0-T52-003 #NON COMMERCIAL VALUE",2.00,NIU,7.34,7.34,22.02,USD,"14,945.00","329,088.90"
1430,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - HANDLE WITH 12MM PLATE840505-03A-T52-S-XL-M0240HG-F0-T52-004 #NON COMMERCIAL VALUE",1.00,NIU,2.38,2.38,3.57,USD,"14,945.00","53,353.65"
1431,001326,4/12/2023,PT. SAIPEM INDONESIA,PROGRESS GALVANIZING PTE LTD,"NEW, ACCESSORIES SLIDING GATE - UPPER CHANEL 10MM PLATE840505-03A-T52-S-XL-M0240HG-F0-T52-004 #NON COMMERCIAL VALUE",1.00,NIU,3.69,3.69,5.54,USD,"14,945.00","82,795.30"
1432,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS (L=5.9M) #NON COMMERCIAL VALUE",42.00,EA,"1,700.00","1,700.00","19,100.42",USD,"14,945.00","285,455,776.90"
1433,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS (L=5.9M) #NON COMMERCIAL VALUE",10.00,EA,420.00,420.00,"4,547.72",USD,"14,945.00","67,965,675.40"
1434,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",16.00,EA,660.00,660.00,"7,276.35",USD,"14,945.00","108,745,050.75"
1435,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",23.00,EA,940.00,940.00,"3,484.78",USD,"14,945.00","52,080,037.10"
1436,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",22.00,EA,900.00,900.00,"3,333.26",USD,"14,945.00","49,815,570.70"
1437,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS (L=5.9M) #NON COMMERCIAL VALUE",21.00,EA,860.00,860.00,"9,550.21",USD,"14,945.00","142,727,888.45"
1438,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",15.00,EA,620.00,620.00,"2,272.68",USD,"14,945.00","33,965,202.60"
1439,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",24.00,EA,980.00,980.00,"3,636.29",USD,"14,945.00","54,344,354.05"
1440,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",25.00,EA,"1,020.00","1,020.00","3,787.80",USD,"14,945.00","56,608,671.00"
1441,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",40.00,EA,"1,620.00","1,620.00","18,190.88",USD,"14,945.00","271,862,701.60"
1442,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",34.00,EA,"1,380.00","1,380.00","5,151.41",USD,"14,945.00","76,987,822.45"
1443,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS (L=5.9M) #NON COMMERCIAL VALUE",32.00,EA,"1,300.00","1,300.00","14,552.70",USD,"14,945.00","217,490,101.50"
1444,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",14.00,EA,580.00,580.00,"2,121.17",USD,"14,945.00","31,700,885.65"
1445,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",12.00,EA,500.00,500.00,"1,818.14",USD,"14,945.00","27,172,102.30"
1446,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",36.00,EA,"1,460.00","1,460.00","5,454.43",USD,"14,945.00","81,516,456.35"
1447,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",36.00,EA,"1,460.00","1,460.00","5,454.43",USD,"14,945.00","81,516,456.35"
1448,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",15.00,EA,620.00,620.00,"2,272.68",USD,"14,945.00","33,965,202.60"
1449,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",19.00,EA,780.00,780.00,"2,878.73",USD,"14,945.00","43,022,619.85"
1450,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",34.00,EA,"1,380.00","1,380.00","5,151.41",USD,"14,945.00","76,987,822.45"
1451,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",40.00,EA,"1,620.00","1,620.00","6,060.48",USD,"14,945.00","90,573,873.60"
1452,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",16.00,EA,660.00,660.00,"2,424.19",USD,"14,945.00","36,229,519.55"
1453,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",21.00,EA,860.00,860.00,"9,550.21",USD,"14,945.00","142,727,888.45"
1454,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",21.00,EA,860.00,860.00,"9,550.21",USD,"14,945.00","142,727,888.45"
1455,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",24.00,EA,980.00,980.00,"10,914.53",USD,"14,945.00","163,117,650.85"
1456,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",24.00,EA,980.00,980.00,"3,636.29",USD,"14,945.00","54,344,354.05"
1457,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",32.00,EA,"1,300.00","1,300.00","4,848.38",USD,"14,945.00","72,459,039.10"
1458,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG - MEKANO #NON COMMERCIAL VALUE",27.00,EA,"1,100.00","1,100.00","4,090.82",USD,"14,945.00","61,137,304.90"
1459,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",30.00,EA,"1,220.00","1,220.00","4,545.36",USD,"14,945.00","67,930,405.20"
1460,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91127 S-M CH100-2T3-11X35-5900 HDG (L=5.9M) #NON COMMERCIAL VALUE",24.00,EA,980.00,980.00,"3,636.29",USD,"14,945.00","54,344,354.05"
1461,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",18.00,EA,740.00,740.00,"8,185.90",USD,"14,945.00","122,338,275.50"
1462,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",18.00,EA,740.00,740.00,"8,185.90",USD,"14,945.00","122,338,275.50"
1463,001327,4/12/2023,PT. SAIPEM INDONESIA,OGLAEND SYSTEM SINGAPORE PTE LTD,"NEW, ITEM NUMBER: 91125 S-M CH100-2T3-11X35-5900 SS - CHANNEL MEKANO #NON COMMERCIAL VALUE",21.00,EA,860.00,860.00,"9,550.21",USD,"14,945.00","142,727,888.45"
